"","distance_ 67045","distance_ 67051","distance_ 67174","distance_ 67258","distance_ 67507","distance_ 67609","distance_ 67630","distance_ 69202","distance_ 69484","distance_ 69571","distance_ 69661","distance_ 69679","distance_ 69712","distance_ 70516"
"110",42.22222222,34.44444444,41.11111111,52.77777778,27.77777778,21.11111111,69.44444444,72.22222222,41.66666667,63.88888889,52.22222222,35,68.33333333,24.44444444
"111",67.77777778,31.11111111,26.11111111,63.88888889,25,62.77777778,60.55555556,42.77777778,60,51.11111111,64.44444444,61.66666667,61.11111111,67.22222222
"112",52.22222222,40.55555556,60.55555556,40.55555556,66.11111111,22.77777778,44.44444444,53.33333333,47.22222222,29.44444444,39.44444444,56.11111111,23.33333333,48.88888889
"113",74.44444444,30,61.11111111,53.33333333,51.11111111,39.44444444,45,52.22222222,67.77777778,21.11111111,40,68.33333333,68.33333333,34.44444444
"114",69.44444444,21.66666667,60,40,22.77777778,53.33333333,57.22222222,60,40.55555556,55.55555556,30.55555556,50.55555556,57.22222222,32.22222222
"115",54.44444444,32.22222222,68.33333333,46.66666667,38.88888889,29.44444444,50.55555556,50,58.33333333,53.88888889,28.33333333,55,37.77777778,28.33333333
"116",27.77777778,72.77777778,52.22222222,23.33333333,41.66666667,61.66666667,25.55555556,50.55555556,45,48.88888889,27.22222222,73.33333333,60.55555556,25
"117",36.66666667,55,36.11111111,22.77777778,61.66666667,62.77777778,29.44444444,22.77777778,22.22222222,60.55555556,58.33333333,46.11111111,70,37.77777778
"118",54.44444444,53.88888889,67.22222222,43.88888889,73.88888889,66.11111111,66.11111111,62.22222222,65.55555556,72.22222222,27.77777778,51.11111111,36.11111111,48.33333333
"119",68.33333333,33.33333333,74.44444444,73.88888889,52.22222222,20.55555556,28.33333333,20,35,30.55555556,69.44444444,20.55555556,71.66666667,25.55555556
"120",46.66666667,60,45.55555556,53.33333333,62.22222222,65.55555556,64.44444444,68.33333333,71.11111111,61.66666667,70.55555556,56.66666667,54.44444444,63.33333333
"121",20,50,21.66666667,47.22222222,62.22222222,57.22222222,38.88888889,23.88888889,31.66666667,49.44444444,51.11111111,62.22222222,66.11111111,61.66666667
"122",27.22222222,26.11111111,45,29.44444444,51.66666667,43.88888889,32.77777778,38.33333333,32.22222222,73.33333333,55.55555556,57.22222222,75,56.66666667
"123",57.77777778,46.66666667,29.44444444,25.55555556,61.66666667,26.66666667,38.88888889,55.55555556,32.77777778,62.22222222,61.11111111,37.77777778,32.22222222,46.66666667
"124",46.66666667,61.11111111,54.44444444,61.66666667,63.88888889,60,35.55555556,22.77777778,50.55555556,58.33333333,60.55555556,52.77777778,53.33333333,66.11111111
"125",58.33333333,21.66666667,58.88888889,45,26.66666667,69.44444444,48.33333333,20,30,72.77777778,55,50,70.55555556,39.44444444
"126",61.11111111,64.44444444,42.77777778,28.88888889,57.22222222,28.33333333,47.22222222,37.22222222,62.77777778,70,41.11111111,48.88888889,44.44444444,35
"127",67.77777778,39.44444444,38.88888889,37.22222222,31.66666667,67.22222222,45.55555556,27.77777778,51.66666667,31.11111111,50.55555556,53.33333333,26.66666667,32.22222222
"128",70.55555556,68.88888889,27.22222222,43.33333333,45,73.33333333,46.66666667,48.88888889,61.66666667,61.66666667,48.88888889,67.22222222,25.55555556,68.88888889
"129",70.55555556,21.11111111,32.22222222,51.11111111,73.33333333,43.33333333,20.55555556,58.33333333,32.22222222,42.77777778,30,72.22222222,21.11111111,37.22222222
"130",73.88888889,72.22222222,66.66666667,33.88888889,27.22222222,23.88888889,48.33333333,36.66666667,21.11111111,41.11111111,24.44444444,30.55555556,63.33333333,28.33333333
"131",22.22222222,26.11111111,62.77777778,52.22222222,26.11111111,31.11111111,56.11111111,67.22222222,20,43.88888889,52.22222222,48.33333333,53.88888889,63.33333333
"132",71.66666667,62.22222222,38.88888889,21.11111111,45.55555556,32.22222222,71.66666667,42.22222222,72.77777778,54.44444444,33.33333333,42.22222222,41.11111111,42.77777778
"133",20.55555556,36.66666667,55,51.66666667,32.77777778,57.77777778,51.66666667,25,43.33333333,30.55555556,48.33333333,68.33333333,26.66666667,23.88888889
"134",61.66666667,34.44444444,46.66666667,61.11111111,33.33333333,71.66666667,53.33333333,45.55555556,32.22222222,67.22222222,75,60.55555556,65.55555556,36.11111111
"135",61.11111111,33.33333333,27.22222222,46.66666667,38.33333333,61.66666667,63.88888889,39.44444444,35,58.33333333,36.11111111,25.55555556,68.88888889,40.55555556
"136",52.77777778,25,22.77777778,21.66666667,57.22222222,21.11111111,21.11111111,42.77777778,33.33333333,62.22222222,36.66666667,58.88888889,41.11111111,37.77777778
"137",52.22222222,68.88888889,25,43.88888889,40.55555556,21.11111111,64.44444444,58.88888889,33.33333333,39.44444444,62.77777778,72.77777778,36.11111111,70
"138",20.55555556,73.88888889,26.66666667,74.44444444,59.44444444,49.44444444,73.88888889,20.55555556,52.22222222,36.66666667,71.11111111,41.11111111,55.55555556,27.77777778
"139",24.44444444,35,34.44444444,30,34.44444444,65,50,66.11111111,26.66666667,54.44444444,43.33333333,21.66666667,41.11111111,35.55555556
"140",41.66666667,38.88888889,35.55555556,48.33333333,60.55555556,48.88888889,46.11111111,45,21.11111111,53.33333333,32.77777778,26.11111111,52.22222222,43.33333333
"141",64.44444444,37.77777778,40.55555556,25.55555556,41.11111111,36.66666667,52.77777778,35.55555556,33.88888889,34.44444444,32.22222222,65.55555556,30.55555556,36.66666667
"142",68.33333333,47.22222222,28.88888889,26.66666667,43.88888889,27.77777778,28.88888889,73.33333333,59.44444444,31.11111111,51.11111111,65.55555556,47.77777778,38.33333333
"143",50.55555556,28.88888889,20.55555556,37.22222222,29.44444444,35,57.77777778,72.77777778,62.22222222,51.11111111,46.11111111,38.88888889,24.44444444,43.88888889
"144",21.11111111,47.22222222,40,70,31.11111111,51.11111111,64.44444444,68.88888889,40.55555556,40,53.88888889,35.55555556,58.33333333,35
"145",63.88888889,33.33333333,21.11111111,37.77777778,32.77777778,61.66666667,67.22222222,29.44444444,41.66666667,54.44444444,40,31.66666667,36.11111111,34.44444444
"146",60,31.66666667,48.33333333,24.44444444,65.55555556,53.88888889,53.33333333,38.33333333,25,45,26.66666667,36.11111111,31.66666667,22.22222222
"147",64.44444444,61.66666667,23.88888889,67.77777778,63.33333333,68.88888889,61.66666667,41.66666667,32.77777778,73.33333333,25,49.44444444,26.66666667,71.11111111
